"epoch_mjd","a","e","i","om","w","ma"
60400,5.206,0.0860,22.55,280.33,301.86,245.64
60400,5.267,0.0439,9.04,123.98,71.74,152.55
60400,5.132,0.0352,13.03,146.55,323.29,18.38
60400,5.233,0.1632,19.92,211.14,235.71,39.35
60400,5.21,0.0364,9.79,81.64,226.33,16.16
60400,5.245,0.0908,6.80,21.80,9.51,72.59
60400,5.158,0.0839,10.69,37.93,336.59,97.71
60400,5.193,0.0641,11.06,224.09,206.63,72.65
60400,5.099,0.0434,9.92,66.42,0.33,55.73
60400,5.255,0.0678,3.60,216.19,331.99,278.88
60400,5.227,0.0998,24.91,225.42,235.44,7.31
60400,5.212,0.0900,4.13,275.23,147.16,71.11
60400,5.256,0.1625,12.51,84.04,29.10,7.04
60400,5.264,0.0670,32.12,76.42,13.29,17.16
60400,5.189,0.1695,21.41,279.73,67.91,9.01
60400,5.236,0.0500,15.79,164.59,170.57,23.46
60400,5.323,0.0921,9.86,196.29,110.79,48.35
60400,5.068,0.0437,7.24,72.54,0.96,43.41
60400,5.156,0.0396,11.17,83.45,33.63,354.61
60400,5.302,0.0403,11.68,304.53,102.94,69.22
60400,5.199,0.0470,29.15,292.08,165.07,34.56
60400,5.12,0.0448,12.55,276.49,217.95,335.37
60400,5.186,0.0755,10.75,313.57,132.00,42.24
60400,5.253,0.1053,16.67,60.61,291.53,118.83
60400,5.263,0.0856,18.15,33.84,357.49,71.39
60400,5.224,0.1499,6.07,271.49,165.42,42.90
60400,5.26,0.0673,14.17,120.96,320.68,43.55
60400,5.32,0.0628,8.81,244.66,197.00,22.40
60400,5.268,0.0833,7.17,9.75,36.75,78.20
60400,5.255,0.0568,12.63,142.74,344.16,338.35
60400,5.284,0.0298,22.51,146.55,327.30,9.23
60400,5.3,0.0594,8.48,113.87,8.34,355.95
60400,5.297,0.0858,7.36,185.71,237.24,55.14
60400,5.143,0.0546,6.90,291.41,356.35,33.88
60400,5.221,0.0813,25.33,287.08,69.40,335.38
60400,5.15,0.0536,8.85,156.85,199.50,338.57
60400,5.221,0.0508,36.94,158.45,220.14,329.91
60400,5.279,0.1303,21.40,28.56,324.11,350.01
60400,5.19,0.0604,6.86,225.98,212.25,277.94
60400,5.154,0.0538,9.78,291.67,357.11,37.48
60400,5.08,0.0343,4.17,95.22,259.08,10.62
60400,5.209,0.0434,8.06,220.76,141.27,358.68
60400,5.234,0.0921,18.19,268.30,4.68,88.94
60400,5.258,0.1187,15.52,307.77,7.38,21.04
60400,5.253,0.1023,16.39,243.46,82.32,26.86
60400,5.246,0.0864,23.93,260.68,68.36,36.55
60400,5.313,0.0460,26.97,241.69,140.45,320.54
60400,5.199,0.0463,21.15,237.63,136.74,354.17
60400,5.165,0.0889,21.75,95.00,19.04,6.48
60400,5.149,0.0416,13.27,151.26,192.34,130.90
60400,5.183,0.0752,8.29,189.99,141.01,137.81
60400,5.24,0.0369,13.01,163.12,335.27,323.08
60400,5.186,0.1058,20.26,348.58,90.80,31.34
60400,5.246,0.0485,17.45,348.08,350.00,141.52
60400,5.323,0.0310,11.82,340.10,126.84,1.29
60400,5.204,0.0782,2.38,89.97,334.86,30.95
60400,5.219,0.0885,13.50,355.70,137.74,339.57
60400,5.237,0.1057,16.73,118.64,322.28,15.46
60400,5.147,0.1193,11.43,149.85,250.48,76.67
60400,5.218,0.0870,22.52,190.55,239.88,21.46
60400,5.218,0.0821,13.05,28.79,306.84,151.59
60400,5.21,0.0651,25.91,354.26,131.12,352.81
60400,5.18,0.0833,18.27,34.87,16.07,76.16
60400,5.31,0.0856,10.97,25.00,92.64,351.77
60400,5.189,0.0111,29.04,176.35,337.70,326.59
60400,5.153,0.1313,6.59,43.59,40.51,22.98
60400,5.191,0.0619,7.12,333.37,124.58,4.02
60400,5.313,0.0690,19.81,157.70,163.52,29.43
60400,5.239,0.0723,17.43,184.93,165.03,349.77
60400,5.158,0.0227,18.63,230.61,35.73,100.34
60400,5.219,0.0750,21.57,70.55,167.13,235.14
60400,5.197,0.0245,19.61,60.85,313.38,115.94
60400,5.253,0.0440,21.38,208.20,259.29,21.49
60400,5.308,0.0660,2.35,25.68,53.65,36.93
60400,5.153,0.1654,12.76,13.80,102.28,21.07
60400,5.181,0.1096,7.30,164.26,270.95,27.52
60400,5.277,0.0695,1.41,10.75,122.17,348.02
60400,5.297,0.0839,5.47,141.95,270.71,65.82
60400,5.275,0.0927,23.44,41.17,17.72,54.17
60400,5.237,0.0907,11.80,52.74,27.04,53.37
60400,5.349,0.0689,1.21,100.16,306.48,67.55
60400,5.298,0.0843,8.23,147.80,287.23,37.24
60400,5.317,0.0349,2.79,339.63,33.74,90.48
60400,5.25,0.0523,3.85,67.64,38.16,231.63
60400,5.302,0.0752,15.22,143.34,135.89,76.83
60400,5.136,0.0341,33.41,113.57,191.75,29.87
60400,5.165,0.0098,30.07,318.89,98.52,302.49
60400,5.221,0.0889,23.99,133.97,156.78,49.23
60400,5.286,0.0485,16.65,80.08,330.34,67.37
60400,5.263,0.0407,23.70,42.18,283.24,148.06
60400,5.275,0.0904,4.68,107.41,243.05,347.12
60400,5.174,0.0576,3.91,267.01,107.70,338.89
60400,5.225,0.0619,5.28,296.68,288.14,122.88
60400,5.21,0.0822,28.67,202.56,195.58,323.38
60400,5.127,0.0826,20.06,343.36,11.75,359.39
60400,5.126,0.0490,17.23,229.26,104.12,33.20
60400,5.279,0.1275,11.44,342.67,49.43,81.93
60400,5.172,0.0647,7.88,216.26,102.31,20.48
60400,5.264,0.0416,14.89,20.42,286.49,57.31
60400,5.188,0.0608,19.76,24.18,343.26,325.60
60400,5.198,0.0136,24.16,29.44,21.86,284.47
60400,5.214,0.0624,24.69,164.50,233.46,300.36
60400,5.225,0.0347,4.36,157.46,64.48,123.07
60400,5.228,0.0611,21.00,88.83,293.55,313.66
60400,5.239,0.0333,2.08,98.59,92.57,152.52
60400,5.212,0.0607,4.70,170.16,123.39,72.19
60400,5.204,0.0660,22.86,143.53,269.67,311.68
60400,5.252,0.1293,7.28,188.73,29.09,125.27
60400,5.226,0.0771,24.41,102.96,192.45,54.03
60400,5.34,0.0386,7.48,27.25,327.46,341.93
60400,5.198,0.0968,34.09,136.73,193.56,25.63
60400,5.325,0.0710,4.44,326.34,1.75,20.70
60400,5.264,0.0102,14.32,348.62,304.41,76.56
60400,5.309,0.0804,2.37,193.22,92.00,70.82
60400,5.238,0.0617,10.76,146.70,178.55,23.32
60400,5.137,0.0532,15.12,74.85,352.13,55.87
60400,5.213,0.1109,18.89,172.46,274.29,257.72
60400,5.211,0.1570,12.67,329.36,344.09,35.30
60400,5.173,0.0599,7.36,333.03,353.19,36.85
60400,5.215,0.1297,3.93,124.50,232.44,346.56
60400,5.236,0.0085,5.60,116.02,173.31,48.40
60400,5.317,0.0686,13.86,314.03,0.23,17.54
60400,5.313,0.0562,6.77,255.63,76.23,11.23
60400,5.197,0.1486,23.48,256.41,103.76,352.24
60400,5.211,0.1254,21.75,280.72,344.14,62.40
60400,5.196,0.1237,23.12,269.28,30.74,44.55
60400,5.169,0.0296,31.33,319.32,355.77,54.04
60400,5.21,0.0990,19.71,248.13,65.68,13.76
60400,5.151,0.0698,30.89,188.76,147.83,18.36
60400,5.244,0.0160,25.22,234.83,259.86,223.37
60400,5.245,0.0284,29.68,218.56,184.57,332.85
60400,5.334,0.0529,2.67,147.75,165.50,48.64
60400,5.209,0.0961,30.69,18.76,287.24,39.69
60400,5.216,0.1670,9.67,341.12,278.33,78.78
60400,5.241,0.0929,21.60,127.88,207.87,6.91
60400,5.143,0.0274,12.15,52.74,222.18,78.50
60400,5.28,0.0801,30.45,65.84,275.02,18.34
60400,5.173,0.0961,26.34,76.61,1.55,17.00
60400,5.165,0.1619,16.79,68.72,245.78,21.41
60400,5.219,0.0684,32.11,55.66,180.78,117.37
60400,5.18,0.0626,25.39,266.14,111.33,307.39
60400,5.15,0.0329,17.56,100.40,228.23,346.95
60400,5.196,0.0154,7.50,248.01,28.17,73.83
60400,5.245,0.0100,5.12,76.74,28.44,249.44
60400,5.228,0.0571,15.07,200.08,349.29,172.16
